Atomo,Energía Exacta,Función,Energía Variacional,Energía FMC,"r12,e","r12,m",Ue
H-,"-0,5277",a,"-0,4727","-0,4727","2,1394","2,4269","-0,8175"
H-,"-0,5277",b,"-0,5088","-0,509","2,2023","2,8125","-0,7914"
H-,"-0,5277",c,"-0,5265","-0,5262","2,2431","3,2158","-0,7443"
He,"-2,9037",a,"-2,8477","-2,8477","0,7691","0,9887","-4,8702"
He,"-2,9037",b,"-2,8910","-2,892","0,7814","1,0809","-4,7291"
He,"-2,9037",c,"-2,9033","-2,904","0,7829","1,1021","-4,6616"
Li+,"-7,2799",a,"-7,2227","-7,2289","0,4648","0,6208","-12,3663"
Li+,"-7,2799",b,"-7,2682","-7,2728","0,4681","0,6568","-12,1357"
Li+,"-7,2799",c,"-7,2793","-7,2837","0,4705","0,6652","-12,0088"
Be2+,"-13,6556",a,"-13,5977","-13,6137","0,3322","0,4525","-23,3097"
Be2+,"-13,6556",b,"-13,6441","-13,6571","0,3344","0,4717","-22,9837"
Be2+,"-13,6556",c,"-13,6548","-13,6673","0,3357","0,476","-22,8006"
B3+,"-22,0310",a,"-21,9727","-22,0056","0,2588","0,3559","-37,7009"
B3+,"-22,0310",b,"-22,0195","-22,0476","0,2597","0,3678","-37,281"
B3+,"-22,0310",c,"-22,0301","-22,0573","0,2607","0,3705","-37,0393"
C4+,"-32,4062",a,"-32,3477","-32,4064","0,2117","0,2934","-55,5404"
C4+,"-32,4062",b,"-32,3949","-32,4465","0,2123","0,3014","-55,0273"
C4+,"-32,4062",c,"-32,4053","-32,4555","0,2131","0,3033","-54,7256"
N5+,"-44,7814",a,"-44,7208","-44,8182","0,1792","0,2495","-76,828"
N5+,"-44,7814",b,"-44,7690","-44,8557","0,1796","0,2553","-76,2221"
N5+,"-44,7814",c,"-44,7805","-44,864","0,1802","0,2567","-75,86"
O6+,"-59,1566",a,"-59,0947","-59,2428","0,1553","0,217","-101,564"
O6+,"-59,1566",b,"-59,1434","-59,2772","0,1556","0,2214","-100,866"
O6+,"-59,1566",c,"-59,1556","-59,2847","0,156","0,2225","-100,442"
F7+,"-75,5317",a,"-75,4681","-75,682","0,137","0,1921","-129,7484"
F7+,"-75,5317",b,"-75,5175","-75,713","0,1372","0,1955","-128,957"
F7+,"-75,5317",c,"-75,5307","-75,7196","0,1376","0,1963","-128,473"
Ne8+,"-93,9068",a,"-93,8477","-94,1381","0,1226","0,1722","-161,381"
Ne8+,"-93,9068",b,"-93,8954","-94,1649","0,1227","0,175","-160,498"
Ne8+,"-93,9068",c,"-93,9058","-94,1705","0,123","0,1756","-159,952"